State,Abbr,Salary_2010,Salary_2016,Type
New York,NY,78752,77957,Actual dollars
New York,NY,60162,59555,Cost of living adjusted
Massachusetts,MA,76158,76981,Actual dollars
Massachusetts,MA,62816,62485,Cost of living adjusted
DC,DC,70963,75810,Actual dollars
DC,DC,52371,55948,Cost of living adjusted
California,CA,74981,72842,Actual dollars
California,CA,58442,56775,Cost of living adjusted
Connecticut,CT,70746,72013,Actual dollars
Connecticut,CT,57007,58028,Cost of living adjusted
New Jersey,NJ,71603,69330,Actual dollars
New Jersey,NJ,62920,60923,Cost of living adjusted
Alaska,AK,65603,67443,Actual dollars
Alaska,AK,53597,55100,Cost of living adjusted
Maryland,MD,70329,66482,Actual dollars
Maryland,MD,61209,57861,Cost of living adjusted
Rhode Island,RI,65618,66197,Actual dollars
Rhode Island,RI,57159,57663,Cost of living adjusted
Pennsylvania,PA,65035,64991,Actual dollars
Pennsylvania,PA,64712,64668,Cost of living adjusted
Michigan,MI,63718,63878,Actual dollars
Michigan,MI,73408,73592,Cost of living adjusted
Illinois,IL,68247,61342,Actual dollars
Illinois,IL,67907,61037,Cost of living adjusted
Oregon,OR,60713,60064,Actual dollars
Oregon,OR,58098,57478,Cost of living adjusted
Delaware,DE,62753,59085,Actual dollars
Delaware,DE,63259,59561,Cost of living adjusted
Vermont,VT,53962,58901,Actual dollars
Vermont,VT,47881,52264,Cost of living adjusted
New Hampshire,NH,58556,58802,Actual dollars
New Hampshire,NH,49094,51043,Cost of living adjusted
Wyoming,WY,61413,57761,Actual dollars
Wyoming,WY,63972,60168,Cost of living adjusted
Hawaii,HI,60536,57431,Actual dollars
Hawaii,HI,45176,42859,Cost of living adjusted
Nevada,NV,56645,56943,Actual dollars
Nevada,NV,56702,57000,Cost of living adjusted
Minnesota,MN,57642,59610,Actual dollars
Minnesota,MN,60485,59717,Cost of living adjusted
Ohio,OH,61519,56410,Actual dollars
Ohio,OH,69357,63596,Cost of living adjusted
Wisconsin,WI,56359,54766,Actual dollars
Wisconsin,WI,60341,58636,Cost of living adjusted
Iowa,IA,54558,54416,Actual dollars
Iowa,IA,61301,61142,Cost of living adjusted
Georgia,GA,58391,54190,Actual dollars
Georgia,GA,64878,60211,Cost of living adjusted
Washinton,WA,58271,52539,Actual dollars
Washinton,WA,54972,49565,Cost of living adjusted
Texas,TX,53058,51758,Actual dollars
Texas,TX,58050,56628,Cost of living adjusted
Kentucky,KY,54467,51666,Actual dollars
Kentucky,KY,61534,61216,Cost of living adjusted
Nebraska,NE,50821,51364,Actual dollars
Nebraska,NE,56847,57454,Cost of living adjusted
Montana,MT,50307,51215,Actual dollars
Montana,MT,54152,55129,Cost of living adjusted
Virginia,VA,54986,50834,Actual dollars
Virginia,VA,56051,51819,Cost of living adjusted
Indiana,IN,54954,50715,Actual dollars
Indiana,IN,63457,58562,Cost of living adjusted
North Dakota,ND,47234,50237,Actual dollars
North Dakota,ND,49616,52770,Cost of living adjusted
Maine,ME,50668,50229,Actual dollars
Maine,ME,45830,45415,Cost of living adjusted
Colorado,CO,54092,50039,Actual dollars
Colorado,CO,54583,50493,Cost of living adjusted
Alabama,AL,52299,49781,Actual dollars
Alabama,AL,60114,57220,Cost of living adjusted
Florida,FL,51350,49199,Actual dollars
Florida,FL,53657,51410,Cost of living adjusted
Kansas,KS,51294,49197,Actual dollars
Kansas,KS,56804,54482,Cost of living adjusted
Tennessee,TN,50891,48708,Actual dollars
Tennessee,TN,58765,56245,Cost of living adjusted
South Carolina,SC,52230,48542,Actual dollars
South Carolina,SC,56221,52252,Cost of living adjusted
Arkansas,AR,51341,48220,Actual dollars
Arkansas,AR,60048,56398,Cost of living adjusted
North Carolina,NC,51506,47985,Actual dollars
North Carolina,NC,57102,53198,Cost of living adjusted
Missouri,MO,49821,47849,Actual dollars
Missouri,MO,56550,54312,Cost of living adjusted
New Mexico,NM,50855,47163,Actual dollars
New Mexico,NM,53588,49698,Cost of living adjusted
Louisiana,LA,53763,46733,Actual dollars
Louisiana,LA,59671,51868,Cost of living adjusted
Utah,UT,50445,46042,Actual dollars
Utah,UT,54359,49614,Cost of living adjusted
West Virginia,WV,50527,45977,Actual dollars
West Virginia,WV,56329,51256,Cost of living adjusted
Arizona,AZ,51618,45477,Actual dollars
Arizona,AZ,52193,45983,Cost of living adjusted
Idaho,ID,50883,45409,Actual dollars
Idaho,ID,58892,52557,Cost of living adjusted
Oklahoma,OK,52431,44921,Actual dollars
Oklahoma,OK,60614,51932,Cost of living adjusted
Mississippi,MS,50180,42744,Actual dollars
Mississippi,MS,61270,52190,Cost of living adjusted
South Dakota,SD,42697,42025,Actual dollars
South Dakota,SD,44803,44098,Cost of living adjusted
